,User,Text,Date,Location
400,falcon_cecilia,im staying home fuck everyone else,2015-12-31 22:43:42+00:00,
401,CinderellasBM,"Cam Newton reveals the name of his newborn son http://www.sportingnews.com/nfl-news/4689700-cam-newton-son-name-girlfriend-carolina-panthers-nfl-bucs-mvp via @sportingnews. Should be Falcon, maybe then he would show up 2xs",2015-12-31 22:43:35+00:00,
402,Colby_Attack,"Playing fetch with Jaclyn, Brodin and Falcon. http://ift.tt/1OzwVaN",2015-12-31 22:43:33+00:00,
403,Falcon_Z_,أقبلي فاتنتي وسأبدأ بتدليلكِ من جديد وأرسم حولك فراشات العشق وأنثر بدروبك وريقات الهوى,2015-12-31 22:43:26+00:00,
404,JackDiamonds777,@_StylesX2 PKFire spammers Warios' ridin' dirty Double Falcon/Ganon I see why you like it......................,2015-12-31 22:43:01+00:00,
405,MissTessaLeanne,Rocking £1 Almond Fashion Nails by @Primark... I feel like a falcon... #claws #nails,2015-12-31 22:42:48+00:00,
406,udedokeiya3,[シチズン キューアンドキュー]CITIZEN Q&Q 腕時計 Falcon (フォルコン) アナログ表示 ホワイト V723-850 レディース http://amzn.to/1PrZzJM,2015-12-31 22:42:43+00:00,
407,RachidYamouni,@S_M_Falcon @hsalfaris أكثر من ٦٠ صفحة في التحذير المبين من خطر الإخوان على المسلمين بالأدلة والبراهين ... http://www.alawazm.com/vb/showthread.php?t=239959,2015-12-31 22:42:41+00:00,
408,alianzave,Al ritmo de las Uvas del Tiempo se despide en Falcón al Año Viejo http://tinyurl.com/o6vyzh4 vía @NOTIFALCON,2015-12-31 22:41:47+00:00,
409,GalaxySmuggler,@CoPilotChewie Han puts the Falcon in flight mode and takes off soon after.,2015-12-31 22:41:00+00:00,
410,YeezusWSU,Falcon Practice before class.: http://www.twitch.tv/yeezuswsu#9698,2015-12-31 22:40:58+00:00,
411,omarabogado,@InterCliente porque el canal ivc no se ve en falcón tucacas?,2015-12-31 22:39:48+00:00,
412,falcon_oribou,#2016年も仲良くしてくれる人RT いる～？,2015-12-31 22:39:21+00:00,
413,alfredo_falcon,@aisia_ess ,2015-12-31 22:39:03+00:00,
414,AJCsports,5 things we learned about the Falcons on Thursday http://on-ajc.com/1kx6ftg,2015-12-31 22:39:00+00:00,
415,weener_lover,"My blueberry got smushed and i said ""this looks like the millennium falcon"" and my mom goes ""what is that?"" ",2015-12-31 22:38:42+00:00,
416,rskuhn,"Timeout Falcons. Central Washington 28, Seattle Pacific 21 0:51 2nd. #GNACWBB",2015-12-31 22:38:30+00:00,
417,Leosk8punk,"2015. Se viene el 2016. #bestnine #bestnineofinstagram #instagram @Santa Ana De Coro, Falcon,… https://www.instagram.com/p/_-SWWHrPs9/",2015-12-31 22:38:07+00:00,
418,FalconsShop,PAF Falcons Shop http://falconsshop.pk,2015-12-31 22:37:55+00:00,
419,falcon_larissa,2016 travel way more #wanderlust,2015-12-31 22:37:51+00:00,
420,ChiCoolHD,I liked a @YouTube video http://youtu.be/e8_2K7QNtpI?a John Williams - The Falcon (Audio Only),2015-12-31 22:37:45+00:00,
421,yANDERE_Sanae,@boso_falcon んっ…///ずっとこのままで…死ぬまで…,2015-12-31 22:37:18+00:00,
422,boso_falcon,@yANDERE_Sanae さわさわ,2015-12-31 22:37:17+00:00,
423,yANDERE_Sanae,@boso_falcon 結婚ですか…は、はい…///,2015-12-31 22:36:51+00:00,
424,boso_falcon,@yANDERE_Sanae 結婚,2015-12-31 22:36:51+00:00,
425,falcon_kkw,(الله الذي سخر لكم البحر لتجري الفلك فيه بأمره ولتبتغوا من فضله ولعلكم تشكرون) [الجاثية:12] http://k-632.com,2015-12-31 22:36:50+00:00,
426,falcon_kkw,ربِّ أسألك خير ما في هذا اليوم وخير ما بعده وأعوذ بك من شر ما في هذه الليلة وشر ما بعدها http://k-632.com,2015-12-31 22:36:50+00:00,
427,boso_falcon,@yANDERE_Sanae 離婚しよう,2015-12-31 22:36:37+00:00,
428,falcon_fav10,101,2015-12-31 22:36:27+00:00,
429,IlConsi,@Conrado_el_10 @GarciaNoee No me hagan enojar que me sale el facho de adentro y los paso a buscar en un Falcon Verde.,2015-12-31 22:36:23+00:00,
430,falcon_fav9,149,2015-12-31 22:36:18+00:00,
431,BrandyJWinkler,Cannot wait for the #Saints vs #Falcons game Sunday! I got tickets and I'm pumped! #WhoDatNation ,2015-12-31 22:36:16+00:00,
432,falcon_fav8,991,2015-12-31 22:36:07+00:00,
433,yANDERE_Sanae,@boso_falcon ねぇ、ボソさん、なんでこんなにも起きるのが遅いんですか？ねぇ…,2015-12-31 22:35:53+00:00,
434,boso_falcon,おはようございますあけましておめでとうございます,2015-12-31 22:35:53+00:00,
435,falcon_alyemen,اعتقد ان هذا القرن قدهو اسواء قرن على المسلمين من يوم خلق الله الارض ومن عليها لا اسمع الا نادرا كلمة الف مبروك... http://fb.me/5ixMRMmRW,2015-12-31 22:35:51+00:00,
436,VictorMTavarez,Me ha gustado un vídeo de @YouTube (http://youtu.be/3_FieJToFKc?a - Jordan Schlansky Asks Harrison Ford To Sign His Millennium Falcon -,2015-12-31 22:35:51+00:00,
437,breno_sheik,"De cada milhão nasce 1 neymar , todo dia nasci um na pista de falcon tornado, 300 ou XT ",2015-12-31 22:35:23+00:00,
438,PosadaIcaro,¿Quieres pasar unos días diferentes? Ven a #PosadaÍcaro a 100 metros de Playa Sur #Adícora #Falcón #Venezuela,2015-12-31 22:35:21+00:00,
439,Kwedin1,Falcons fought hard in a battle tested Season 1. Extremely impressed and can't wait for Season 2. #Hungry #27:17 ,2015-12-31 22:35:16+00:00,
440,KurtJaenen,Spacex falcon rocket nails safe landing in pivotal space feat #news #tech #science http://j.mp/1kdVewE,2015-12-31 22:34:35+00:00,
441,LTSNik,@fangbreaker @burgersama I think she more or less struggled with the Falcon on Jakku. After that though she just handled it like a pro.,2015-12-31 22:34:11+00:00,
442,Falcon_Z_,فاتنتي مع بداية هذا العام أتمنى من المولى عز وجلّ أن يحفظكِ لي سنواتٍ عديدة وأعوامٍ مديدة,2015-12-31 22:34:04+00:00,
443,Geek_Kay,"Two men one aisle over are complaining there's not enough TFA merch because they used the ""same old Millennium Falcon &amp; Star Destroyers"".",2015-12-31 22:33:57+00:00,
444,falcon_peddie,I'M READY TO GET DRUNK WHO'S PREGAMING WITH ME,2015-12-31 22:32:58+00:00,
445,QuickRoofingTX,@P1Postman Any luck getting the Falcons Helmet?,2015-12-31 22:32:55+00:00,
446,vellisimofalcon,VELLISIMO CENTER PARAGUANA esta en C.C. LAS VIRTUDES PLANTA ALTA LCL 1-2 PUNTO FIJO - FALCON Tlf: 0269-248-4103,2015-12-31 22:32:54+00:00,
447,dirtybirdinOrl,I am not gonna be able to make the game this week against the Saints. If interested DM me. Sec 106 row 30 seat 1 and 2. #Falcons #Riseup,2015-12-31 22:32:51+00:00,
448,SS2Jet,"@HusbandoGoddess I swear that second picture had the words ""Congratulations"" on it. Oh well, enjoy Captain Falcon punching Luigi.",2015-12-31 22:32:40+00:00,
449,mercurie80,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.com/news/magazine-32842338,2015-05-26 22:48:33+00:00,
450,kvb565,Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338 @Neelia_13 this is where could take the dying birds to get better!,2015-05-26 22:05:21+00:00,
451,gowen1,Welcome to the falcon hospital of #Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 21:56:29+00:00,
452,AbrahamAdams19,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 21:13:53+00:00,
453,FALCONRYUK,Welcome to the falcon hospital of Qatar - BBC News http://fb.me/3LNFB66ia,2015-05-26 21:09:36+00:00,
454,JanetMangano,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338. #falcon #bird,2015-05-26 21:03:07+00:00,
455,HatchEdd,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 20:52:47+00:00,
456,petleepeter,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 20:38:50+00:00,
457,DennisNgeno,Welcome to the falcon hospital of Qatar http://www.bbc.com/news/magazine-32842338,2015-05-26 20:36:02+00:00,
458,CocoTheParrot,Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 20:17:13+00:00,
459,ScurrRuth,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338?post_id=1425120442_10207940497376702,2015-05-26 19:38:24+00:00,
460,Scar_Peres,Interesting read: BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 19:37:53+00:00,
461,qatarflights,#Qatar Military drills ‘Ferocious Falcon’ end in Qatar with a strategic seminar: “Any security threat... http://binged.it/1KlksRB #Airline,2015-05-26 19:04:24+00:00,
462,peteswildlife,Welcome to the falcon hospital of Qatar - http://ln.is/www.bbc.co.uk/news/YHDBA,2015-05-26 18:44:44+00:00,
463,Surbhivb,Venkat : Welcome to the falcon hospital of Qatar. http://www.bbc.com/news/magazine-32842338,2015-05-26 18:41:13+00:00,
464,bdnews24com,Military drills ‘Ferocious Falcon’ end in Qatar with a strategic seminar http://bit.ly/1J35ot8 -,2015-05-26 18:33:49+00:00,
465,venkatananth,Welcome to the falcon hospital of Qatar. http://www.bbc.com/news/magazine-32842338,2015-05-26 18:23:07+00:00,
466,thetruanttrain,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.com/news/magazine-32842338,2015-05-26 18:13:26+00:00,
467,UstaazATL,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 18:07:17+00:00,
468,NewTekumze,Qatar's first aid for falcons http://bbc.in/1F7M0W2,2015-05-26 18:02:55+00:00,
469,news_in_summary,Welcome to the falcon hospital of #Qatar http://www.bbc.co.uk/news/magazine-32842338 #ZippedNews http://www.zippednews.com/qatar,2015-05-26 17:58:26+00:00,
470,JAG6042,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 17:53:00+00:00,
471,StarrOutlook,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 17:51:09+00:00,
472,DerpGiovanna,"The falcon hospital of Qatar: Hunting with falcons is a popular sport in the Gulf - and Qatar's capital city, ... http://bit.ly/1H0sbpZ",2015-05-26 17:44:05+00:00,
473,mutantblues,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 17:22:38+00:00,
474,DrDonnaYates,Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 17:21:01+00:00,
475,Jayavarmasinha,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 17:02:33+00:00,
476,LouiseZaaijman,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 16:07:46+00:00,
477,UysFaber,"Wild! ""Welcome to the falcon hospital of Qatar http://www.bbc.com/news/magazine-32842338""",2015-05-26 15:52:04+00:00,
478,__birdRS__,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 15:39:50+00:00,
479,ELIASSAMAHA1,Welcome to the falcon hospital of Qatar - BBC News http://fb.me/7jZu08NzG,2015-05-26 15:21:27+00:00,
480,Three_Ten,✎ The falcon hospital of Qatar #TTiNFo http://ttinfo.club/1Q8nwSK,2015-05-26 15:20:42+00:00,
481,DohaQatarNews,Welcome to the falcon hospital of Qatar - http://goo.gl/alerts/Wkrq #GoogleAlerts,2015-05-26 14:59:22+00:00,
482,EliasEells,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 14:52:50+00:00,
483,gypsy_scientist,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 14:38:30+00:00,
484,matthewteller,Haha! Lovely little story about Doha's falcon hospital by @justinmarozzi - with a cracking payoff line http://www.bbc.co.uk/news/magazine-32842338 #Qatar,2015-05-26 14:32:55+00:00,
485,NigerianEchoes,Qatar's first aid for falcons http://bbc.in/1F7M0W2,2015-05-26 14:16:21+00:00,
486,geosurfnews,The falcon hospital of Qatar http://dlvr.it/9zHRqv,2015-05-26 14:07:40+00:00,
487,Rukkywordsmith,The falcon hospital of Qatar http://weeder.org/rLH6Mp9 #middleeast #news,2015-05-26 13:47:46+00:00,
488,sonicshaker,Because cats are overrated. “Welcome To The Falcon Hospital Of Qatar” via #petfalcon http://www.bbc.com/news/magazine-32842338,2015-05-26 13:38:18+00:00,
489,patsynyster,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.com/news/magazine-32842338,2015-05-26 13:37:16+00:00,
490,DPDSDrain,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 13:35:10+00:00,
491,_Radina_,BBC News - Welcome to the falcon hospital of Qatar http://www.bbc.com/news/magazine-32842338,2015-05-26 13:32:25+00:00,
492,AmCuriousNJ,BBC News - Welcome to the #Falcon hospital of Qatar http://www.bbc.com/news/magazine-32842338 #Animals #Birds,2015-05-26 13:13:58+00:00,
493,MarjiStevens,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 13:06:42+00:00,
494,KC_Kreative,Very cool. Welcome to the falcon hospital of Qatar http://owl.li/NqP1M via @BBCNewsMagazine,2015-05-26 12:55:22+00:00,
495,Report24UK,The falcon hospital of Qatar http://goo.gl/QaarUs,2015-05-26 12:43:08+00:00,
496,chowandchatter,The falcon hospital of Qatar http://shrd.by/oEW9Lr,2015-05-26 12:18:34+00:00,
497,growglowg,The falcon hospital of Qatar http://www.bbc.co.uk/news/magazine-32842338,2015-05-26 12:12:34+00:00,
498,ninjaokok,Welcome To The Falcon Hospital Of Qatar,2015-05-26 11:45:14+00:00,
499,bbcstories,The falcon hospital of Qatar http://bbc.in/1HtJUBi,2015-05-26 11:43:49+00:00,
